Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,Grades,Stress_Level
6.9,3.8,8.7,2.8,1.8,7.48,2
5.3,3.5,8.0,4.2,3.0,6.88,1
5.1,3.9,9.2,1.2,4.6,6.68,1
6.5,2.1,7.2,1.7,6.5,7.2,2
8.1,0.6,6.5,2.2,6.6,8.78,0
6.0,2.1,8.0,0.3,7.6,7.12,2
8.0,0.7,5.3,5.7,4.3,7.7,0
8.4,1.8,5.6,3.0,5.2,8.0,0
5.2,3.6,6.3,4.0,4.9,7.05,1
7.7,0.7,9.8,4.5,1.3,6.9,2
9.7,3.6,8.0,2.5,0.2,8.57,0
6.9,1.1,9.1,2.1,4.8,7.42,2
6.4,2.2,5.7,4.8,4.9,7.05,0
5.0,3.3,8.5,4.4,2.8,7.18,1
8.9,0.3,6.8,0.7,7.3,8.5,0
6.7,0.3,6.6,2.0,8.4,8.0,2
8.6,2.6,9.4,1.6,1.8,8.4,0
8.8,2.2,8.9,2.0,2.1,7.98,0
7.6,1.7,5.1,0.6,9.0,7.9,0
6.6,2.0,9.5,1.5,4.4,7.32,2
7.1,3.0,6.1,0.5,7.3,7.25,2
9.6,3.2,8.2,2.6,0.4,8.35,0
9.0,0.7,9.5,2.6,2.2,8.02,0
6.1,1.7,9.1,5.2,1.9,7.12,2
5.0,2.0,7.1,1.3,8.6,6.7,1
9.7,1.3,7.6,3.8,1.6,8.22,0
6.8,3.9,9.8,0.9,2.6,6.6,2
6.4,0.1,8.0,3.0,6.5,7.38,2
5.3,1.1,9.5,1.4,6.7,6.98,1
9.9,1.0,8.4,3.6,1.1,8.12,0
6.2,2.9,6.8,3.8,4.3,7.62,2
5.5,3.3,6.6,1.1,7.5,8.15,1
5.2,2.4,8.4,0.1,7.9,6.18,1
8.2,0.7,8.5,2.3,4.3,8.1,0
9.7,0.6,6.7,0.7,6.3,9.05,0
9.1,2.2,7.6,1.2,3.9,7.8,0
5.5,3.6,9.5,3.4,2.0,6.45,1
8.6,3.6,9.4,1.9,0.5,7.58,0
8.2,0.3,5.8,5.4,4.3,8.22,0
5.0,0.6,7.7,4.2,6.5,6.52,1
8.3,0.9,8.6,1.4,4.8,8.7,0
8.2,3.4,8.3,2.3,1.8,7.68,0
5.5,1.5,6.3,1.5,9.2,7.02,1
9.5,2.5,9.0,1.5,1.5,8.72,0
7.9,2.0,6.0,4.3,3.8,7.42,2
9.7,3.8,9.6,0.3,0.6,8.88,0
5.1,3.7,7.1,5.8,2.3,6.5,1
9.3,1.3,5.8,3.3,4.3,7.72,0
9.7,2.8,7.9,0.3,3.3,8.68,0
9.4,3.0,8.5,2.2,0.9,7.95,0
6.8,1.2,9.0,4.9,2.1,7.8,2
9.5,1.4,6.9,0.6,5.6,8.32,0
7.3,2.2,6.4,3.5,4.6,7.78,2
5.2,0.1,9.1,2.2,7.4,6.98,1
8.8,0.9,8.1,0.5,5.7,7.75,0
5.3,2.1,7.7,3.8,5.1,5.98,1
9.0,1.1,7.2,0.5,6.2,8.48,0
5.1,3.9,9.2,4.0,1.8,6.3,1
5.8,1.0,7.7,4.3,5.2,7.0,1
8.3,1.1,9.8,3.5,1.3,9.18,0
7.1,1.0,6.8,4.5,4.6,8.18,2
7.4,0.4,7.5,2.8,5.9,8.15,2
5.9,1.7,7.0,3.7,5.7,7.0,1
6.9,2.5,7.5,5.1,2.0,7.65,2
8.3,0.7,5.4,3.9,5.7,8.15,0
9.7,2.3,6.9,3.3,1.8,8.45,0
7.3,2.2,9.7,1.9,2.9,7.88,2
5.4,1.3,9.2,0.1,8.0,6.72,1
9.1,1.1,5.6,4.2,4.0,8.85,0
8.7,3.2,6.4,1.0,4.7,8.43,0
8.8,3.2,10.0,0.8,1.2,8.95,0
6.7,3.7,9.3,1.8,2.5,7.22,2
8.8,3.0,5.5,5.4,1.3,8.95,0
6.6,3.6,6.9,0.1,6.8,7.48,2
9.5,0.4,6.6,5.7,1.8,8.6,0
8.2,1.8,6.5,2.0,5.5,8.38,0
8.4,3.0,9.0,2.8,0.8,8.15,0
5.3,2.2,7.2,5.3,4.0,6.55,1
6.8,0.5,5.7,4.6,6.4,7.15,0
5.4,2.8,5.4,4.9,5.5,7.15,0
8.5,0.3,5.4,5.9,3.9,7.48,0
9.1,3.8,9.9,0.9,0.3,7.7,0
6.9,0.3,8.9,3.4,4.5,8.02,2
5.6,2.0,5.1,2.8,8.5,7.02,0
5.3,0.5,5.6,3.9,8.7,7.25,0
9.8,1.5,6.4,5.2,1.1,9.45,0
6.1,3.9,5.1,5.8,3.1,7.4,0
5.4,2.2,9.8,3.1,3.5,7.02,1
8.1,2.8,7.3,3.6,2.2,8.48,0
5.2,1.1,9.8,5.3,2.6,7.05,1
7.3,2.5,6.4,1.1,6.7,6.68,2
7.9,0.3,9.9,5.8,0.1,7.7,2
8.5,2.1,6.5,4.9,2.0,7.75,0
9.6,3.3,9.7,1.0,0.4,8.85,0
8.1,1.7,9.7,3.9,0.6,8.62,0
9.9,0.6,8.0,2.1,3.4,8.48,0
9.8,3.4,9.2,0.7,0.9,7.88,0
5.3,3.5,9.1,6.0,0.1,6.7,1
10.0,2.2,8.8,2.8,0.2,8.52,0
7.3,0.5,9.8,3.6,2.8,8.05,2
6.1,2.7,8.1,2.1,5.0,7.45,2
7.6,3.1,7.6,4.9,0.8,7.48,2
7.8,2.2,9.4,1.9,2.7,8.25,2
8.5,0.9,5.7,0.1,8.8,8.88,0
6.8,2.4,7.0,2.6,5.2,7.42,2
7.6,3.1,7.0,3.7,2.6,8.2,2
9.3,3.8,5.7,4.8,0.4,7.62,0
7.3,3.9,7.5,1.7,3.6,7.7,2
8.2,1.0,5.4,0.8,8.6,8.25,0
5.9,1.4,9.5,2.8,4.4,6.75,1
8.3,0.7,6.0,0.2,8.8,7.85,0
5.9,0.4,5.6,2.8,9.3,6.82,0
6.0,1.5,7.5,4.1,4.9,6.9,2
9.4,3.7,5.3,1.6,4.0,8.62,0
9.0,3.0,5.9,1.3,4.8,8.22,0
8.1,1.5,7.3,4.5,2.6,6.88,0
5.2,1.0,8.6,5.4,3.8,8.5,1
5.5,1.8,7.7,1.5,7.5,7.62,1
6.3,1.5,5.1,1.9,9.2,7.05,0
5.6,3.6,8.0,4.1,2.7,6.55,1
8.9,2.0,5.4,3.2,4.5,9.1,0
7.2,0.5,6.4,2.2,7.7,7.98,2
8.2,2.3,6.8,5.9,0.8,7.38,0
5.5,0.6,6.2,1.0,10.7,7.35,1
5.9,1.1,5.9,5.4,5.7,7.22,0
7.1,3.9,5.6,2.4,5.0,7.25,0
9.8,3.5,9.1,0.4,1.2,8.93,0
9.6,2.2,7.9,1.2,3.1,8.1,0
8.8,0.7,6.6,2.6,5.3,7.48,0
5.6,2.4,6.4,3.5,6.1,7.12,1
5.8,1.9,7.7,0.3,8.3,6.75,1
5.3,4.0,6.6,4.9,3.2,6.8,1
6.3,2.7,8.8,3.6,2.6,6.12,2
6.7,3.7,9.2,4.2,0.2,7.12,2
5.6,2.9,9.7,1.1,4.7,7.15,1
7.9,3.4,5.7,4.8,2.2,7.88,0
6.0,0.7,5.8,4.9,6.6,7.4,0
6.8,3.5,7.0,4.9,1.8,8.6,2
7.2,1.5,7.3,1.8,6.2,7.7,2
6.2,3.6,6.9,3.3,4.0,8.18,2
9.5,2.5,5.6,5.6,0.8,7.82,0
5.7,3.2,8.1,3.2,3.8,7.7,1
9.5,3.2,5.8,1.7,3.8,8.98,0
5.2,2.3,8.8,5.3,2.4,6.52,1
6.7,3.3,5.6,5.1,3.3,7.38,0
9.0,0.6,6.1,4.3,4.0,7.88,0
8.6,2.6,8.5,2.3,2.0,7.85,0
5.9,3.6,7.9,2.4,4.2,6.6,1
7.3,3.8,5.8,3.5,3.6,8.95,0
5.1,3.5,9.7,3.2,2.5,6.98,1
8.5,3.7,8.5,0.5,2.8,9.12,0
7.1,2.9,9.7,4.0,0.3,8.32,2
7.3,0.5,9.9,5.0,1.3,7.78,2
8.0,1.6,5.3,2.0,7.1,8.55,0
9.0,0.0,6.7,2.4,5.9,8.78,0
